Time (seconds),σ = 0.01 (%),σ = 0.015 (%),σ = 0.02 (%),σ = 0.025 (%)
0.0,0.0,0.0,0.0,0.0
12500.0,4.440892098500626e-14,4.111673376428614e-13,3.9715774643850325e-13,5.648307823854554e-12
25000.0,3.9968028886505635e-13,3.1811367701842434e-12,2.7990164987094516e-12,3.585583253927559e-11
37500.0,1.8207657603852567e-12,1.3373758666488858e-11,1.1839083298595381e-11,1.4641911773218546e-10
50000.0,7.1387340483397566e-12,4.752228807703809e-11,4.2098721122481345e-11,4.6036829376471995e-10
62500.0,2.2515322939398175e-11,1.356419406497608e-10,1.2071704264366507e-10,1.2657046474123136e-09
75000.0,6.189493362285248e-11,3.585162780383834e-10,3.2222731827710566e-10,3.2189581463664806e-09
87500.0,1.588285059028749e-10,8.797682602385729e-10,7.937670369414486e-10,7.431019873873002e-09
100000.0,3.8247183198336643e-10,2.0067346519452728e-09,1.8070866585688297e-09,1.55353742113665e-08
112500.0,8.328226996923149e-10,4.1414505478284335e-09,3.731675273262536e-09,3.2180765734602714e-08
125000.0,1.7295498366820539e-09,8.476647473231422e-09,7.677758992780945e-09,6.395569587114338e-08
137500.0,3.5084712912691884e-09,1.6791879305858734e-08,1.5232626031449633e-08,1.2001086018132093e-07
150000.0,6.822076237256169e-09,3.1905460101004074e-08,2.9014964358821332e-08,2.1581783196298877e-07
162500.0,1.2677736638266879e-08,5.801008484099789e-08,5.2802235862640844e-08,3.7527396189340373e-07
175000.0,2.2669210952841468e-08,1.0144084674115186e-07,9.25911064441095e-08,6.369968397856814e-07
187500.0,3.93651111707527e-08,1.7253700295460575e-07,1.5802343145033575e-07,1.0505682479012342e-06
200000.0,6.647645767188237e-08,2.881973795757778e-07,2.644143700749339e-07,1.682199678949123e-06
212500.0,1.0908302039425166e-07,4.6757713756536707e-07,4.300544738741936e-07,2.6900794830053313e-06
225000.0,1.749304923137629e-07,7.421012771701487e-07,6.854486728611107e-07,4.397524897895584e-06
237500.0,2.7921904788286156e-07,1.1804445468714256e-06,1.0996103310556322e-06,7.34171680372602e-06
250000.0,4.5226179468116356e-07,1.9166417423980432e-06,1.7966359063658677e-06,1.2143216104240377e-05
262500.0,7.440761451427136e-07,3.1546199610084556e-06,2.962265883085614e-06,1.936770836427581e-05
275000.0,1.2222044709631064e-06,5.160158678651229e-06,4.826778015194281e-06,2.9264834684480187e-05
287500.0,1.9608678347715625e-06,8.177602698594336e-06,7.5993718738050095e-06,4.1787218213453476e-05
300000.0,3.016486904705573e-06,1.237860644228194e-05,1.1410881924941524e-05,5.752459736680891e-05
312500.0,4.424745958520049e-06,1.7837995786487643e-05,1.6350681937968582e-05,7.987235439003499e-05
325000.0,6.227870508190847e-06,2.4761515188102278e-05,2.274897642818461e-05,0.00011978736043227467
337500.0,8.626378722453865e-06,3.416589716217203e-05,3.196712792943353e-05,0.0002067388745929374
350000.0,1.2381067837630155e-05,5.0104803572019045e-05,4.850453216346965e-05,0.00040159292960551636
362500.0,1.964463253179005e-05,8.309316106291971e-05,8.319059451684853e-05,0.0008200181680942737
375000.0,3.541618783797773e-05,0.00015596841155555616,0.00015907854057741158,0.001658937369673724
387500.0,6.962527697718102e-05,0.0003137208001971929,0.0003199039851951273,0.0032300869505390937
400000.0,0.00014028769071972036,0.0006352868446101105,0.000640854193188403,0.006005477302267929
412500.0,0.00027754389038125993,0.0012493288035272257,0.0012431246089732865,0.010665235079762341
425000.0,0.0005291899989878779,0.002355770789129202,0.002313547212542116,0.018156389647918676
437500.0,0.0009672392305315469,0.004251815276070422,0.004126933554585632,0.0297592559667452
450000.0,0.001696374789528221,0.0073620778826194245,0.0070731827701261,0.04716402562334403
462500.0,0.00286340418863551,0.012274656191830872,0.011689275647718123,0.07199190183871441
475000.0,0.0046687974213810435,0.019785498843988523,0.018699916889371386,0.1067169241542575
487500.0,0.007379760356829301,0.030947748716177153,0.029057409302474045,0.1531891096574094
500000.0,0.01134514606779824,0.047122570514904864,0.043987833662854484,0.17374792055084715
512500.0,0.01701127601457797,0.07003698058298022,0.06504116186355137,0.19565810269267297
525000.0,0.02493924691039373,0.10184593707590155,0.09414503544229773,0.22403098252510176
537500.0,0.035823510753540955,0.1451983527512543,0.13366179301987946,0.2617261246630194
550000.0,0.050511570085287616,0.20330651585057136,0.18644827623678317,0.311018669710139
562500.0,0.07002463543382964,0.2800183549216203,0.25591792712157035,0.37579690779238867
575000.0,0.09557909206758808,0.37989198220261483,0.34610468660893134,0.4598030179826026
587500.0,0.12860862811471252,0.5082719629685362,0.461728224116173,0.5674198666475374
600000.0,0.17078688407208276,0.671366796948668,0.6082600776393184,0.7037344526473891
612500.0,0.22405050087045408,0.8763271749679684,0.7919903512601434,0.8746022226516055
625000.0,0.2906224672897917,1.1313246698192148,1.0200947080694114,1.0867119868977517
637500.0,0.37303569711441,1.4456306447334084,1.3007015099919166,1.347569417284932
650000.0,0.4741568022345155,1.8276773248548195,1.6429590899332867,1.6634171096151982
662500.0,0.5972100691002513,2.271968272019353,2.057103297818726,2.0272388200067426
675000.0,0.7458016926107813,2.636888784516399,2.5545256378382977,2.449075058271304
687500.0,0.923944373172414,2.9878893858714153,3.1478425084936648,2.9483198331798124
700000.0,1.1360824387236956,3.387300536428281,3.850966268207681,3.538201824724716
712500.0,1.387117713470043,3.8332757008081106,4.67917907576687,4.231578062535087
725000.0,1.6824364182812301,4.172322129125915,5.649210695700884,5.042102985211935
737500.0,2.027937453612616,4.519860435177709,6.779321713461011,5.984670787436733
750000.0,2.4300624837320317,4.91203015693159,8.08939387504828,7.075491087722381
762500.0,2.8958283102558435,5.366206162174583,9.60102955388841,8.332172629337101
775000.0,3.432862092642164,5.889824408442078,11.337662661133942,9.773816799400072
787500.0,4.049440042367203,6.490953133194186,13.293751518525903,11.42112296428371
800000.0,4.754530284706848,7.178334655631706,15.238172113303428,13.296507858881013
812500.0,5.557840645714574,7.961431986285278,16.686385125563422,15.42424155461071
825000.0,6.469872179812719,8.850481031395889,18.218030231433172,17.830602898340175
837500.0,7.5019793022882535,9.856549230604452,19.93679097220365,20.544057808864608
850000.0,8.666437426508988,10.991601503758618,21.797112476359942,23.595464506669053
862500.0,9.97651902181661,12.268574399545253,23.31712565023231,26.99700254823356
875000.0,11.44657899650402,13.701459327796409,24.62813738815266,30.55685309029428
887500.0,13.092150259801494,15.305395708172792,26.03557216173745,33.05066502496815
900000.0,14.930050212555102,17.096774766257038,27.606621345692727,35.56831412194364
912500.0,16.978498739254533,19.093354535417436,29.356836769859594,38.33412114504352
925000.0,19.25724800093026,21.314386356466578,31.303076514825445,41.40024922039014
937500.0,21.787723932568138,23.780752781187086,33.46362371105782,44.617357726756424
950000.0,24.593178803308835,26.515116254163924,35.858315621920106,47.056478841649316
962500.0,27.698853483338816,29.542077251093566,38.50868143836039,49.30915731757661
975000.0,31.132147180595616,32.888339693373524,41.43808662322483,51.743128788282824
987500.0,34.92279141476803,36.58288048861693,44.67188091612115,54.42799008093008
1000000.0,39.10302403155194,40.65711910717849,48.23754636094014,57.38646649893012
1012500.0,43.70775843815986,45.145082499470675,52.16484123671579,60.64317693475082
1025000.0,48.774743538306545,50.083560949949955,56.48593606766761,64.22473575640609
1037500.0,54.34471202251985,55.51225258813886,61.23553979016669,68.1598514699975
1050000.0,60.46152017201549,61.47389964264325,66.45101889937503,72.47942225480266
1062500.0,67.17229306961688,68.01442999023752,72.17252161103899,77.21663748752982
1075000.0,74.52760713702796,75.18313512337572,78.44313449555817,82.40710781516815
1087500.0,82.58176859595736,83.03294166149529,85.3091218043027,88.0890655152945
1100000.0,91.16312273774732,91.39580468062213,92.61143517050442,94.11183689497436
1112500.0,98.7179908339382,98.7529767766656,98.94812744689213,99.18606665861647
1125000.0,99.87900256284593,99.88252738725235,99.90452413142576,99.93361111080317
1137500.0,100.0,100.0,100.0,100.0
1150000.0,100.0,100.0,100.0,100.0
1162500.0,100.0,100.0,100.0,100.0
1175000.0,100.0,100.0,100.0,100.0
1187500.0,100.0,100.0,100.0,100.0
1200000.0,100.0,100.0,100.0,100.0
1212500.0,100.0,100.0,100.0,100.0
1225000.0,100.0,100.0,100.0,100.0
1237500.0,100.0,100.0,100.0,100.0
1250000.0,100.0,100.0,100.0,100.0
